"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Overworld 3D design","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=8dce6348-9328-401e-8b93-ff67d494f782","github issue","","TODO","","","","","Github Integration created on Jun 23, 2023 1:36 PM"
"Beginner Quest: Avatar Creation","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=3cda2d46-68b0-44bb-96ce-73964a52b5f4","github issue","","TODO","","","","","Github Integration created on Jun 16, 2023 1:40 PM"
"Guide for NPCs","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=05446270-f024-4058-82ee-ce455bd9b8cc","github issue","","TODO","","","","","Github Integration created on Jun 16, 2023 1:20 PM"
"Optimization: Modularize asset kit for buildings","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=249eb41c-73fc-4f09-aea5-0afb8225e6d9","github issue","","TODO","","","1 ETH","","Github Integration created on Jun 2, 2023 1:35 PM"
"2D overworld sprites","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=d07c62b3-0f8a-47fa-8293-fe9906e4637b","github issue","","TODO","","","","","Github Integration created on May 19, 2023 1:37 PM"
"DAO Gallerys","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=19fd5a5d-2445-4556-ac79-2ba3d2febc6b","github issue","","TODO","","","","","Github Integration created on May 19, 2023 1:31 PM"
"Night mode","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=ea53439f-ad39-4193-9443-0423b419f072","github issue","","TODO","","","$150 in ETH","","Github Integration created on May 19, 2023 1:28 PM"
"Explainer post","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=15879ad5-935b-4c14-a945-028268591a6d","github issue","","TODO","jin,jackP","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F,0xeF5ee368011180dFd6FA4D07B0CF9F4ffA4eE218","","","Github Integration created on May 12, 2023 10:58 AM"
"Props","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=48c10045-b4cb-49cb-ba7a-cd6ee20e24ed","github issue","","TODO","","","","","Github Integration created on May 11, 2023 6:58 PM"
"Cyberbrokers warehouse","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=b8cd2981-e4d6-46bb-8460-6b538ca57315","github issue","","TODO","","","","","Github Integration created on May 5, 2023 1:57 PM"
"3D website","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=a5b5cb35-28fc-4ca3-9d65-a8305fad99b0","github issue","","TODO","","","","","Github Integration created on Apr 28, 2023 6:48 PM"
"NPCs","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=8fd38627-d7c6-47f4-8166-7656b3f190d6","github issue","","TODO","","","","","Github Integration created on Apr 28, 2023 6:42 PM"
"Optimization","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=a097ae3c-b34f-48fd-b149-28a6b9565435","github issue","","TODO","","","$500 in ETH","","Github Integration created on Apr 28, 2023 6:07 PM"
"Signage","https://app.dework.xyz/neon-buidl/daotown-93202?taskId=e92a73bf-c40a-487e-90e1-1f8a7752f291","github issue","","TODO","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","jin created on Apr 28, 2023 6:06 PM"
