"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Digital freedom quiz / score","https://app.dework.xyz/m3/m3ta?taskId=4095ff3c-dd7d-4a73-b3ca-8cebf1a7eef7","","","TODO","","","","","jin created on Jul 8, 2023 12:58 PM"
"add vrchat world to project","https://app.dework.xyz/m3/m3ta?taskId=435d81da-1d3a-49e9-86b1-921cc1a905dc","github issue","","TODO","","","","","jin created on Oct 16, 2022 3:58 PM"
"Dework pins -> signs / NPCs","https://app.dework.xyz/m3/m3ta?taskId=21bfb935-f13d-471c-bf21-48956d8586ac","github issue","","DONE","","","","","jin created on Oct 16, 2022 3:58 PM, Task completed on Mar 13, 2023 12:46 AM"
"Vprod: characters as pickupable objects","https://app.dework.xyz/m3/m3ta?taskId=a0f81cc5-e56f-43b0-8704-5666f427ec2d","github issue","","TODO","","","","","jin created on Oct 16, 2022 3:58 PM"
"Create sprites for sidescroller","https://app.dework.xyz/m3/m3ta?taskId=f3c503cf-d88e-4f47-b2ca-333e1a73d534","github issue","","TODO","","","","","jin created on Oct 16, 2022 3:58 PM"
"Gnosis safe ideas","https://app.dework.xyz/m3/m3ta?taskId=02058c53-f3f7-4831-a08e-ebd420469686","","","COMMUNITY_SUGGESTIONS","","","","","jin created on Oct 9, 2022 3:13 PM"
"badges -> shop / building signs","https://app.dework.xyz/m3/m3ta?taskId=fde61abe-ada0-4b5f-84de-f4d4f9239aed","","","DONE","Arashi2","0x7C2529De2bE136EC50D70bC6c677dFb0c377A83a","150 USDC","October 1, 2022 10:35 AM","jin created on Sep 26, 2022 4:23 PM, Task completed on Mar 2, 2023 10:41 PM"
"M3rcury: Objects to test interop with","https://app.dework.xyz/m3/m3ta?taskId=27338c85-710e-4f79-bc90-d53de7c47b1d","","","TODO","","","","","jin created on Sep 25, 2022 8:44 PM"
"M3rcury: Mint Space Base default shell","https://app.dework.xyz/m3/m3ta?taskId=10d3a506-d872-46d6-a387-7a7dac280486","","","DONE","","","","","jin created on Sep 25, 2022 8:42 PM, Task completed on Mar 13, 2023 12:45 AM"
"Mint 1000 Open Brush sample files","https://app.dework.xyz/m3/m3ta?taskId=489e6ce8-4682-4fc9-a8bf-f76ca1f29187","","","IN_PROGRESS","philbert","0x377aCc3717a67e2F5D8E7818c0360Bcdf0E17Af4","","","jin created on Sep 25, 2022 8:18 PM"
"Mint VRMs on M3rcury Post","https://app.dework.xyz/m3/m3ta?taskId=f2eb493e-b835-4536-a3ea-ab19f25349cf","","","DONE","philbert","0x377aCc3717a67e2F5D8E7818c0360Bcdf0E17Af4","","","jin created on Sep 25, 2022 6:21 PM, Task completed on Sep 29, 2022 11:18 PM"
"Git-gud","https://app.dework.xyz/m3/m3ta?taskId=85ba83f9-d42b-4f58-9423-25ee97c49c96","good first issue","","TODO","","","","","jin created on Sep 20, 2022 9:38 PM"
"link dework to gitgud guide","https://app.dework.xyz/m3/m3ta?taskId=2bb19caf-8483-474f-8f4d-4233584902ce","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","","","A created on Sep 19, 2022 2:37 PM, Task completed on Jul 8, 2023 12:17 PM"
"Cool lab coat wearable template for M3 members","https://app.dework.xyz/m3/m3ta?taskId=21d6ba0a-f72c-4c74-9abd-c9fe36559eb6","","","COMMUNITY_SUGGESTIONS","","","","","jin created on Sep 2, 2022 1:13 PM"
"Tip for creating suggestion","https://app.dework.xyz/m3/m3ta?taskId=e7572da2-1868-4497-902e-cbe4e2c1ef48","","","DONE","A___","0xB84e22c66c0c99D6193bB49376cAC88fF9C90C8B","1 ROBOT","","jin created on Aug 30, 2022 8:03 PM, Task completed on Aug 30, 2022 8:03 PM"
"M3 Virtual Hollywood Art Show","https://app.dework.xyz/m3/m3ta?taskId=ab780714-6d2d-4f9b-b036-9072dd31f8a6","","","BACKLOG","boomboxhead","0x670A6EB62f5146d4B3B40C7b58AA31d175E3d6Fb","","","jin created on Aug 27, 2022 12:38 PM"
"Initial grant for world designer","https://app.dework.xyz/m3/m3ta?taskId=8c534887-2f1d-4ab6-a3e8-dc83b545f646","","","DONE","7oroy.eth","0x94BFC92633da476B10Bdd5d0151CdA8adeFC5468","0.5 ETH, 100 ROBOT","","jin created on Aug 27, 2022 12:13 PM, Task completed on Aug 27, 2022 12:26 PM"
"Grant: Virtual Storefronts / HQs","https://app.dework.xyz/m3/m3ta?taskId=568b1a82-8b42-4c69-9872-cfea74b999bf","","","BACKLOG","7oroy.eth","0x94BFC92633da476B10Bdd5d0151CdA8adeFC5468","","","jin created on Aug 27, 2022 12:03 PM"
"Redo reaction role bot","https://app.dework.xyz/m3/m3ta?taskId=f4dbb748-07b7-4541-8543-3029f6927da1","","","IN_PROGRESS","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","50 USDC","","jin created on Aug 19, 2022 12:10 AM"
"M3 HQ in VRChat","https://app.dework.xyz/m3/m3ta?taskId=f9597eaf-19b9-4b0b-88a9-23c5439495af","","","IN_PROGRESS","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","250 USDC","","jin created on Aug 19, 2022 12:06 AM"
"Organize a toy project so that we can learn the process of dwork together","https://app.dework.xyz/m3/m3ta?taskId=29ee5b32-8b29-4c23-839e-737b08a0732d","","","DONE","","","5 ROBOT","","A___ created on Aug 19, 2022 12:03 AM, Task completed on Jul 8, 2023 12:37 PM"
