"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Booth templates","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=c1350fc7-1c2e-488b-810a-c914bd1cda84","","","DONE","antpb","0x02D00f4ab4FE9b95bB785D9dBD4Ae20990f23DB7","0.15 ETH","","jin created on Feb 5, 2023 3:22 AM, Task completed on Feb 5, 2023 3:22 AM"
"Booth templates","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=d380458c-a62b-4773-bf46-58badb835f27","","","DONE","Arashi2","0x7C2529De2bE136EC50D70bC6c677dFb0c377A83a","0.15 ETH","","jin created on Feb 4, 2023 7:03 PM, Task completed on Feb 4, 2023 7:03 PM"
"Booth templates","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=6e6a8019-982d-4bba-aeac-39a264d2b654","","","DONE","MetaMike","0xf1C40E8C7c7770e5BD8d8638feEBc80F9D3BA40D","0.15 ETH","","jin created on Feb 2, 2023 3:18 PM, Task completed on Feb 2, 2023 3:18 PM"
"Booth templates","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=4141e324-bde5-4b7f-86c7-8f12a0a6f778","","","DONE","decentralize*","0xb57Dfd26871e79Bef2A11E5B3A205f8497193DeE","0.15 ETH","","jin created on Feb 2, 2023 3:18 PM, Task completed on Feb 2, 2023 3:18 PM"
"Booth templates","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=d249b46b-1de3-481b-9aa3-f6ac02ebc12b","","","DONE","smsithlord","","0.15 ETH","","jin created on Jan 31, 2023 2:47 PM, Task completed on Jan 31, 2023 2:47 PM"
"Booth templates","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=6e8439eb-dbcb-4ebc-9c4b-0684b11642dc","","","DONE","-ˋˏ kiiba ˎˊ-","0x0e3a41217d8C291081598c46d738AaAf5Be3907e","0.15 ETH","","jin created on Jan 29, 2023 2:44 PM, Task completed on Jan 29, 2023 2:44 PM"
"Tip for creating suggestion","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=246b69f6-29b0-48a0-883e-9df678dabc9f","","","DONE","jin","0x4f074f7F08C8eFC5d3d7c056D0dCB443AC17934F","$10 in ETH","","jin created on Jan 13, 2023 1:51 PM, Task completed on Jan 13, 2023 1:51 PM"
"Booth templates","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=222d1100-99a5-4c9c-af91-13f88c455bb9","","","DONE","","","0.15 ETH","","jin created on Jan 13, 2023 1:41 PM, Task completed on Feb 5, 2023 3:22 AM"
"Concept art for Neon Buidl 3D town / building","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=f617d46b-4595-4a71-8eac-6444a4765659","","","COMMUNITY_SUGGESTIONS","","","","","jin created on Jan 13, 2023 1:24 PM"
"Grants for blog posts / How-to videos","https://app.dework.xyz/neon-buidl/metaverse-grants?taskId=0a50204e-6ec5-401e-9cac-c3e7c3209118","","","COMMUNITY_SUGGESTIONS","","","","","jin created on Jan 13, 2023 1:22 PM"
